section,field,value,link,notes
hero,Note,Blind Dinners,,
hero,Title,Where titles fade and people have real talk.,,
hero,Body 1,"Blind Dinners are small, invitation-only gatherings Amanda hosts and cooks herself.",,
hero,Body 2,Guests do not know who else is attending until they arrive.,,
hero,Body 3,"The room brings together founders, creatives, executives, and builders from different backgrounds to talk honestly about business, ownership, and navigating rooms that were not built for us.",,
hero,Image,assets/images/additional_images/Blind Dinner 1 photos/475-IMG_5974.JPEG,,Guests sharing a meal at a long table.
what-it-is,Eyebrow,The Room,,
what-it-is,Title,"Hosted at home, built for honest conversation.",,
what-it-is,Body 1,Blind Dinners are intimate by design. They are not events built for visibility. They are rooms built for trust.,,
what-it-is,Image,assets/images/additional_images/Blind Dinner 1 photos/334-IMG_5725.JPEG,,A plated dish prepared for a dinner guest.
who-comes,Eyebrow,Who Comes,,
who-comes,Title,"Founders, creatives, executives, and builders in one room.",,
who-comes,Body 1,"The mix matters. Different backgrounds create better conversation, sharper perspective, and a different kind of honesty.",,
who-comes,Image,assets/images/additional_images/Blind Dinner 1 photos/433-IMG_5918.JPEG,,A dinner guest serving food to the table.
how-it-works,Eyebrow,Format,,
how-it-works,Title,No panels. No speakers. No networking scripts.,,
how-it-works,Body 1,"There are no panels, no speakers, and no name tags.",,
how-it-works,Body 2,Just real conversation around the table.,,
how-it-works,List 1,Private by design,,
how-it-works,List 2,Conversation over performance,,
how-it-works,List 3,Shared perspective over surface networking,,
how-it-works,Image,assets/images/additional_images/Blind Dinner 1 photos/499-IMG_6013.JPEG,,Guests in candid conversation at a candlelit dinner.
relationship-to-membership,Eyebrow,The Decision Room,,
relationship-to-membership,Title,Thoughtful invitations start with shared context.,,
relationship-to-membership,Body 1,Invitations are extended thoughtfully and intentionally.,,
relationship-to-membership,Body 2,"If you are interested in future invitations, The Decision Room is the first place to begin building shared language, trust, and alignment.",,
relationship-to-membership,CTA 1,Explore The Decision Room,/membership,primary
