section,field,value,link,notes
hero,Note,Stories,,
hero,Title,"Real Stories. Real Momentum.",,
hero,Subhead,"Experiences from Black founders building toward ownership.",,
hero,Body 1,"Stories motivate when they are honest. We share stories to show what building actually looks like: the decisions, the uncertainty, the progress, and the moments that change direction.",,
hero,Body 2,"These stories help us feel less alone and more confident in our next steps. They remind us that momentum is built over time.",,
hero,Image,assets/images/Giana-De-Dier_Particularidades-de-una-tierra-prometida5-scaled.jpg,,Portrait framed by soft light and layered textiles.
stories-from-the-work,Eyebrow,Stories From the Work,,
stories-from-the-work,Title,Experience Shared Honestly,,
stories-from-the-work,Body 1,Cupcakes + Broccoli is shaped by real people navigating real decisions.,,
stories-from-the-work,Body 2,Founders, collaborators, and Amanda reflect on what building actually looks like. The choices. The uncertainty. The moments that change direction.,,
stories-from-the-work,Body 3,These stories are not performance. They are perspective.,,
stories-from-the-work,Image,assets/images/additional_images/chanel dokun - story individual/Chanel-Dokun.jpeg,,Chanel Dokun smiling in a studio portrait.
what-youll-find,Eyebrow,What You Will Find Here,,
what-youll-find,Title,Many Forms of Story,,
what-youll-find,Body 1,Stories at Cupcakes + Broccoli take many forms. You may find:,,
what-youll-find,List 1,"Reflections by Amanda on ownership, work, and decision-making",,
what-youll-find,List 2,"Stories from Black founders navigating growth, transition, and uncertainty",,
what-youll-find,List 3,"Perspectives from collaborators who have worked closely with Amanda",,
what-youll-find,List 4,"Essays on building inside systems that were not designed for us",,
what-youll-find,Body After 1,Each story exists to offer clarity, not polish.,,
what-youll-find,Image,assets/images/additional_images/chanel dokun - story individual/chanel dokun.jpg,,Chanel Dokun smiling against a bright background.
why-stories-matter,Eyebrow,Why Stories Matter,,
why-stories-matter,Title,"Context, Connection, Momentum",,
why-stories-matter,Body 1,"Building can be isolating, especially when decisions are carried alone.",,
why-stories-matter,Body 2,Stories help create context. They remind us that uncertainty is part of the work and that momentum is built over time.,,
why-stories-matter,Body 3,They create connection without performance. This is where shared experience lives.,,
why-stories-matter,Image,assets/images/additional_images/chanel dokun - story individual/289009491_567841984715267_3365790725858420719_n.jpg,,Chanel Dokun in a close portrait.
how-stories-connect,Eyebrow,How Stories Connect to the Work,,
how-stories-connect,Title,Stories Inform the Platform,,
how-stories-connect,Body 1,Stories do not stand apart from the platform. They inform it.,,
how-stories-connect,Body 2,"Many stories connect directly to learning resources, consulting insights, member conversations, or Blind Dinners. Together, they add depth and perspective.",,
how-stories-connect,Inline link,"Explore practical tools inspired by these stories",/learn,
how-stories-connect,Image,assets/images/additional_images/chanel dokun - story individual/chanel dokun life coach.jpeg,,Chanel Dokun in conversation with a laptop.
blind-dinners,Eyebrow,Blind Dinners and Shared Experience,,
blind-dinners,Title,Connection That Continues,,
blind-dinners,Body 1,Some stories grow out of real connection.,,
blind-dinners,Body 2,"Blind Dinners are invitation-based gatherings where Black founders come together for honest conversation. While the dinners themselves are private, the reflections they inspire often live here.",,
blind-dinners,Inline link,Learn about Blind Dinners,/blind-dinners,
blind-dinners,Image,assets/images/additional_images/chanel dokun - story individual/maryclairephoto_chanel_3.22-0143.webp,,Chanel Dokun portrait.
membership-access,Eyebrow,Membership and Access,,
membership-access,Title,Public Stories and Deeper Access,,
membership-access,Body 1,Some stories are shared publicly. Others are reserved for members.,,
membership-access,Body 2,Membership makes space for deeper reflection, trust, and care.,,
membership-access,CTA 1,Explore Membership,/membership,primary
membership-access,CTA 2,Browse Stories,/stories,ghost
membership-access,Image,assets/images/additional_images/chanel dokun - story individual/maryclairephoto_chanel_3.22-0224.webp,,Chanel Dokun portrait in studio lighting.
invitation,Eyebrow,An Invitation,,
invitation,Title,Read the Stories,,
invitation,Body 1,If you are looking for perfectly packaged success stories, this may not be the right place.,,
invitation,Body 2,"If you are looking for honesty, context, and shared experience from people building toward ownership, you are welcome here.",,
invitation,CTA 1,Read the Stories,/stories,primary
