section,field,value,link,notes
hero,Note,Blind Dinners,,
hero,Title,An Invitation to a Seat at the Table,,
hero,Subhead,"Blind Dinners are intimate, invitation-only gatherings hosted by Amanda Johnson.",,
hero,Body 1,"They are designed for people who carry responsibility, influence, and vision, often without many places to put it down.",,
hero,Body 2,"These dinners create space for honesty, depth, and connection among people who understand what it means to build, lead, and decide.",,
hero,Body 3,This is not an event. It is a gathering.,,
hero,Image,assets/images/Butler-Indi-10Det1-1920x1438.jpg,,Portrait in patterned textiles.
who-is-at-the-table,Eyebrow,Who Is at the Table,,
who-is-at-the-table,Title,A Curated Mix of Guests,,
who-is-at-the-table,Body 1,"Blind Dinners bring together a carefully curated mix of guests, including:",,
who-is-at-the-table,List 1,Business owners and founders,,
who-is-at-the-table,List 2,Influencers and cultural leaders,,
who-is-at-the-table,List 3,"Actors, directors, and creatives",,
who-is-at-the-table,List 4,"Educators and thought leaders",,
who-is-at-the-table,List 5,"Attorneys, real estate professionals, and operators",,
who-is-at-the-table,Body After 1,"The table is intentionally Black, alongside other People of Color and LGBTQIA+ guests.",,
who-is-at-the-table,Body After 2,"Guests are invited because of how they think, how they move through the world, and how they hold responsibility, not because of follower count or title alone.",,
who-is-at-the-table,Image,assets/images/muriu-6-scaled.jpg,,Portrait framed by soft light.
what-its-like,Eyebrow,What a Blind Dinner Is Like,,
what-its-like,Title,Conversation Over Performance,,
what-its-like,Body 1,Guests do not arrive to pitch, perform, or promote.,,
what-its-like,Body 2,"They arrive to listen, share, and be in conversation. Phones are put away. The evening unfolds slowly, with room for laughter, vulnerability, and reflection.",,
what-its-like,Body 3,Conversation moves where it needs to go. Everyone comes in as themselves. Everyone leaves having been seen.,,
what-its-like,Image,assets/images/Thandiwe-Muriu-Camo-16.jpg,,Portrait layered over a patterned textile background.
about-the-food,Eyebrow,About the Food,,
about-the-food,Title,"Home Cooked, Served With Care",,
about-the-food,Body 1,The food served at Blind Dinners is home cooked by Amanda.,,
about-the-food,Body 2,She cooks because cooking is how she creates care and belonging.,,
about-the-food,Body 3,"Meals are prepared thoughtfully and served family-style. The food is not about spectacle. It is about warmth, generosity, and the feeling of being welcomed into someone’s home.",,
about-the-food,Image,assets/images/1muriu-8-scaled.jpg,,Portrait with patterned backdrop.
why-it-exists,Eyebrow,Why Blind Dinners Exist,,
why-it-exists,Title,Relief From Performance,,
why-it-exists,Body 1,Leadership can be isolating.,,
why-it-exists,Body 2,"Blind Dinners exist because there are few spaces where people with influence can be human without explanation.",,
why-it-exists,Body 3,"These gatherings offer relief from performance and space for truth. They are intentionally small so that trust can form and conversation can deepen.",,
why-it-exists,Image,assets/images/butler-7.jpg,,Portrait with bold color styling.
how-hosted,Eyebrow,How Blind Dinners Are Hosted,,
how-hosted,Title,"Curated, Private, Limited by Design",,
how-hosted,Body 1,Blind Dinners are hosted personally by Amanda Johnson.,,
how-hosted,Body 2,Each guest list is curated with care. The balance of voices at the table matters.,,
how-hosted,Body 3,"Dinners are hosted in private settings and are limited by design. Because of this, Blind Dinners are not open to the public and cannot be requested directly.",,
how-hosted,Image,assets/images/s_E521675FD7161C8DBA81737FF2977B200D5AF776D94CCDE084483E84D1E6E5D1_1716565825286_04-Discord.jpg,,Portrait with layered textile pattern.
membership-relationship,Eyebrow,Relationship to Membership,,
membership-relationship,Title,"Context, Continuity, and Alignment",,
membership-relationship,Body 1,Blind Dinners are part of the broader Cupcakes + Broccoli ecosystem.,,
membership-relationship,Body 2,"Eligibility is reserved for select members, typically within the Premium tier.",,
membership-relationship,Body 3,"Membership creates shared context, continuity, and alignment beyond a single evening.",,
membership-relationship,CTA 1,Explore Membership,/membership,primary
membership-relationship,Image,assets/images/african-digital-print-fabric.jpg,,Colorful African print fabric pattern.
privacy-trust,Eyebrow,Privacy and Trust,,
privacy-trust,Title,Discretion Is Foundational,,
privacy-trust,Body 1,What happens at a Blind Dinner stays at the table.,,
privacy-trust,Body 2,"Stories may inspire reflection or future writing, but individual conversations are held with care and discretion. Privacy is foundational to the experience.",,
privacy-trust,Image,assets/images/Thandiwe-Muriu-Ascension.jpg,,
invitation,Eyebrow,An Invitation,,
invitation,Title,A Deeper Kind of Connection,,
invitation,Body 1,"Blind Dinners are for people who value depth over visibility and connection over performance.",,
invitation,Body 2,"If this resonates, Cupcakes + Broccoli membership is the first step toward deeper participation.",,
invitation,CTA 1,View Membership Options,/membership,primary
invitation,CTA 2,Learn About Cupcakes + Broccoli,/about,ghost
