section,field,value,link,notes
hero,Note,Thank You,,
hero,Title,I am excited you reached out.,,
hero,Body 1,"If you submitted this, it means you are thinking seriously about your next move. That matters.",,
hero,Body 2,"Strategic Partnership is designed for moments when something meaningful is shifting - a launch, a rebuild, a new chapter, work that deserves focus.",,
hero,Body 3,"Amanda will personally review what you shared and reach out to schedule a 15-minute conversation. That call helps determine fit, scope, and timing.",,
hero,Body 4,You can expect to hear back within 3 business days.,,
hero,Body 5,"If the work moves forward, it will be structured, intentional, and built around a clear outcome.",,
hero,Body 6,Thank you for trusting Amanda with what you are building.,,
hero,Body 7,Talk soon. - Amanda,,
next,Eyebrow,Continue,,
next,Title,Return when you are ready.,,
next,Body 1,You can head back to Work With Amanda or read more about The Decision Room while you wait.,,
next,CTA 1,Work With Amanda,/work-with-amanda,primary
next,CTA 2,Explore The Decision Room,/membership,ghost
