section,field,value,link,notes
hero,Note,About,,
hero,Title,Built for founders building inside systems not built for them.,,
hero,Body 1,"Cupcakes + Broccoli exists for founders who need steady thinking, structural awareness, and support grounded in real experience inside complex institutions and real businesses.",,
hero,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 4.jpg,,Amanda Johnson in a studio portrait.
about-amanda,Eyebrow,About Amanda,,
about-amanda,Title,Amanda Johnson,,
about-amanda,Body 1,"Amanda Johnson began her career at NBC News, working inside the network newsroom at 30 Rockefeller Plaza in New York.",,
about-amanda,Body 2,"After earning a degree in Industrial Engineering from Cornell University and a Master's in Broadcast Journalism from Syracuse University, she joined NBC, producing live national segments, covering presidential campaigns, and operating inside one of the most demanding environments in network news.",,
about-amanda,Body 3,"That newsroom foundation shaped how she thinks: quickly, structurally, and with clarity under pressure.",,
about-amanda,Body 4,She later earned her MBA in Marketing from NYU Stern.,,
about-amanda,Body 5,"From there, her work expanded into executive marketing and brand leadership across media, beauty, and consumer brands. She has led large cross-channel campaigns, managed significant operating budgets, relaunched global brand platforms, built revenue-driving strategies for established companies and emerging ventures, raised multimillion-dollar sponsorships, helped scale startups, and advised teams navigating high-stakes growth and change.",,
about-amanda,Body 6,She understands how large institutions think because she has operated inside them.,,
about-amanda,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 7.jpg,,Amanda Johnson smiling in a studio portrait.
about-cupcakes-broccoli,Eyebrow,About Cupcakes + Broccoli,,
about-cupcakes-broccoli,Title,"Structure, support, and strategic clarity for founders.",,
about-cupcakes-broccoli,Body 1,"Cupcakes + Broccoli is for founders building inside systems that were not built for them: corporate systems, capital systems, and media systems.",,
about-cupcakes-broccoli,Body 2,"Inside institutions, strategy is reviewed, risks are tested, and decisions are rarely made alone. Outside them, founders are expected to move fast and absorb the consequences.",,
about-cupcakes-broccoli,Body 3,This work gives founders access to that same level of structure and strategic support.,,
about-cupcakes-broccoli,Body 4,"It blends creativity with discipline, vision with structure, and ambition with operational clarity.",,
about-cupcakes-broccoli,Body 5,The work takes different forms:,,
about-cupcakes-broccoli,Body After 1,Different formats. Same foundation.,,
about-cupcakes-broccoli,List 1,The Decision Room,,
about-cupcakes-broccoli,List 2,Business Counsel,,
about-cupcakes-broccoli,List 3,Strategic Partnership,,
about-cupcakes-broccoli,List 4,Blind Dinners,,
about-cupcakes-broccoli,Image,assets/images/additional_images/Blind Dinner 1 photos/433-IMG_5918.JPEG,,Guests talking across a shared table.
what-this-is-about,Eyebrow,What This Is About,,
what-this-is-about,Title,"Ownership builds leverage, options, and long-term stability.",,
what-this-is-about,Body 1,"Building something that lasts requires steady thinking, structural awareness, and the confidence to move through systems that were not designed for you.",,
what-this-is-about,Body 2,This is the work.,,
what-this-is-about,List 1,Ownership builds leverage.,,
what-this-is-about,List 2,Ownership builds options.,,
what-this-is-about,List 3,Ownership builds long-term stability.,,
what-this-is-about,CTA 1,Enter the Decision Room,/membership,primary
what-this-is-about,CTA 2,Work With Amanda,/work-with-amanda,ghost
