section,field,value,link,notes
hero,Note,About,,
hero,Title,This Is a Founder-Led Practice,,
hero,Subhead,Cupcakes + Broccoli is led by Amanda Johnson.,,
hero,Body 1,"It is not a generic platform or a faceless subscription product. It is a founder-led practice built around experience, judgment, and care. Membership, consulting, learning, and Blind Dinners all flow from that center.",,
hero,Body 2,People do not come here for hype.,,
hero,Body 3,They come for clarity.,,
hero,Inline link,Learn how Membership works,/membership,
hero,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 8.jpg,,Amanda Johnson smiling in a studio portrait.
who-amanda-is,Eyebrow,Who Amanda Is,,
who-amanda-is,Title,A Career Inside Complex Systems,,
who-amanda-is,Body 1,Amanda Johnson has spent her career inside complex systems where decisions matter.,,
who-amanda-is,Body 2,"She has led strategy and marketing work inside major organizations and advised senior leaders on initiatives tied to revenue, reputation, and growth. She understands how power moves and how decisions actually get made.",,
who-amanda-is,Body 3,"She has also worked closely with Black-owned small businesses navigating limited access and unclear rules. She understands what it means to build without a safety net.",,
who-amanda-is,Body 4,Cupcakes + Broccoli lives at the intersection of those two realities.,,
who-amanda-is,Inline link,Work directly with Amanda,/work-with-amanda,
who-amanda-is,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 6.jpg,,Amanda Johnson in a close studio portrait.
how-amanda-works,Eyebrow,How Amanda Works,,
how-amanda-works,Title,Structure Where There Is Chaos,,
how-amanda-works,Body 1,People who work with Amanda describe a consistent pattern.,,
how-amanda-works,Body 2,She listens closely.,,
how-amanda-works,Body 3,She does the work.,,
how-amanda-works,Body 4,She stays through execution.,,
how-amanda-works,Body 5,"She brings structure where there is chaos and momentum where things feel stuck. This approach shapes everything at Cupcakes + Broccoli.",,
how-amanda-works,Inline link,See how this shows up in practice,/stories,
how-amanda-works,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 5.jpg,,Amanda Johnson in a studio portrait, looking to the side.
why-cnb-exists,Eyebrow,Why Cupcakes + Broccoli Exists,,
why-cnb-exists,Title,Ownership Is the Strategy,,
why-cnb-exists,Body 1,Cupcakes + Broccoli was created after a series of professional and personal inflection points.,,
why-cnb-exists,Body 2,"After years inside corporate environments, Amanda experienced workplace harm, public undermining, and termination. She challenged that experience through formal channels and lost. What followed was uncertainty and the realization that institutional stability is often fragile, especially for Black women.",,
why-cnb-exists,Body 3,At the same time, personal loss reshaped how she thought about time, work, and ownership.,,
why-cnb-exists,Body 4,Cupcakes + Broccoli exists because relying on systems that were not built for us is not a strategy.,,
why-cnb-exists,Body 5,Ownership is.,,
why-cnb-exists,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 3.jpg,,Amanda Johnson in a focused studio portrait.
what-cnb-is,Eyebrow,What Cupcakes + Broccoli Is,,
what-cnb-is,Title,A Membership-Based Ecosystem,,
what-cnb-is,Body 1,Cupcakes + Broccoli is a membership-based ecosystem centered on guidance, learning, and community.,,
what-cnb-is,Body 2,It includes:,,
what-cnb-is,List 1,Practical tools and decision frameworks,,
what-cnb-is,List 2,An AI concierge built around real founder questions,,
what-cnb-is,List 3,Consulting led directly by Amanda,,
what-cnb-is,List 4,Stories from founders and collaborators,,
what-cnb-is,List 5,Invitation-based Blind Dinners,,
what-cnb-is,Body After 1,This is not about hustle or constant growth. It is about building something sustainable, on purpose.,,
what-cnb-is,CTA 1,Explore Membership,/membership,primary
what-cnb-is,CTA 2,Browse Resources,/learn,ghost
what-cnb-is,Image,assets/images/additional_images/amanda professional photos of her/Amanda_-_5_3500x4184.jpg,,Amanda Johnson smiling in a bright studio portrait.
blind-dinners,Eyebrow,Blind Dinners,,
blind-dinners,Title,A Core Expression of the Work,,
blind-dinners,Body 1,Blind Dinners are a core expression of this work.,,
blind-dinners,Body 2,"They are small, invitation-based gatherings hosted by Amanda for Black founders. They are not networking events or panels. They are moments of trust and shared perspective.",,
blind-dinners,Body 3,Blind Dinners are intentionally limited and available to select members.,,
blind-dinners,CTA 1,Learn about Blind Dinners,/blind-dinners,ghost
blind-dinners,Image,assets/images/additional_images/Blind Dinner 1 photos/b198dea0-e06c-41da-8ca6-9c52724cbc11.JPEG,,Blind Dinner table setting with shared dishes.
what-the-name-means,Eyebrow,What the Name Means,,
what-the-name-means,Title,Joy and Discipline,,
what-the-name-means,Body 1,Cupcakes + Broccoli is about balance.,,
what-the-name-means,Body 2,Joy and discipline.,,
what-the-name-means,Body 3,Creativity and rigor.,,
what-the-name-means,Body 4,Vision and execution.,,
what-the-name-means,Body 5,You cannot live on cupcakes alone.,,
what-the-name-means,Body 6,You also cannot thrive on broccoli alone.,,
what-the-name-means,Body 7,This platform exists to help founders hold both.,,
what-the-name-means,Image,assets/images/additional_images/African textile close up - fabric sheets/tela-africana-wax-uganda_6.jpg,,African textile pattern in bright blue and yellow.
invitation,Eyebrow,An Invitation,,
invitation,Title,You Are Welcome Here,,
invitation,Body 1,Cupcakes + Broccoli is for Black founders who want to think clearly, build deliberately, and own what they create.,,
invitation,Body 2,If you are looking for quick wins or surface-level motivation, this may not be the right place.,,
invitation,Body 3,If you are looking for clarity, honesty, and a community grounded in real experience, you are welcome here.,,
invitation,CTA 1,Join Membership,/membership,primary
invitation,CTA 2,Read Founder Stories,/stories,ghost
name-means-image,Image,assets/images/additional_images/African textile close up - fabric sheets/gwtm_programs_rtamabstraction_2300x1120.jpg,,Geometric textile pattern in warm gold tones.
