section,field,value,link,notes
Hero,Note,Cupcakes + Broccoli,,
Hero,Title,"Black ownership is Black survival, freedom and wealth.",,
Hero,Subhead,We help Black founders build businesses that last.,,
Hero,Body 1,"Cupcakes + Broccoli is a place to get steady support, real guidance and clear direction as you build. If you are working on something that matters, you are in the right room.",,
Hero,CTA 1,Enter the Decision Room,/membership,primary
Hero,CTA 2,Work With Us,/work-with-amanda,ghost
Hero,Image,assets/images/Thandiwe-Muriu-Ascension.jpg,,Portrait layered with patterned textiles.
The Decision Room,Eyebrow,The Decision Room,,
The Decision Room,Title,For founders who want stronger support.,,
The Decision Room,Body 1,The Decision Room is a membership for people building real businesses.,,
The Decision Room,Body 2,Inside you will find:,,
The Decision Room,Body After 1,No hustle culture. No shallow motivation. No pretending business is easy.,,
The Decision Room,Body After 2,Just honest insight and practical direction you can use right away.,,
The Decision Room,List 1,"Essays like ""Are You Underpricing, Overpricing or Just Uncomfortable?""",,
The Decision Room,List 2,Decision case studies that break down real founder moments step by step,,
The Decision Room,List 3,"Tools like a Pricing Reality Check worksheet, a Launch Readiness checklist, and a Partnership Red-Flag guide",,
The Decision Room,List 4,"An AI prompt stack on how to pressure-test AI thinking before you act, including copy-and-use prompts and a guide to spotting weak outputs",,
The Decision Room,List 5,Access to live sessions where real business problems get worked through together,,
The Decision Room,CTA 1,Enter the Decision Room,/membership,primary
The Decision Room,Image,assets/images/Thandiwe-Muriu-Camo-16.jpg,,Portrait framed by patterned textiles.
Business Counsel,Eyebrow,Business Counsel,,
Business Counsel,Title,When you need to solve something now.,,
Business Counsel,Body 1,Business Counsel is a focused session designed to help you work through a specific problem.,,
Business Counsel,Body 2,Maybe you are asking:,,
Business Counsel,Body After 1,Or it might be something else entirely.,,
Business Counsel,Body After 2,We get to the heart of it quickly. You leave with a clear next move and a plan you can stand behind.,,
Business Counsel,List 1,Should a beauty founder expand into wholesale or double down on direct-to-consumer?,,
Business Counsel,List 2,How should a psychiatrist or dermatologist structure a possible influencer or celebrity collaboration?,,
Business Counsel,List 3,Is it time for a freelance web developer to raise rates or walk away from a draining client?,,
Business Counsel,List 4,"Would launching a podcast actually help a CPA build authority, and how should it be positioned?",,
Business Counsel,List 5,Should a Brooklyn wine shop and restaurant make a major menu shift or pursue a new partnership?,,
Business Counsel,CTA 1,Book Business Counsel,/apply-business-counsel,primary
Business Counsel,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 5.jpg,,Amanda Johnson smiling in a studio portrait.
Strategic Partnership,Eyebrow,Strategic Partnership,,
Strategic Partnership,Title,For big moves.,,
Strategic Partnership,Body 1,Some seasons require deeper work.,,
Strategic Partnership,Body 2,"If you are preparing to launch, grow, reposition, or fix something that is not working, we can work together in a focused engagement.",,
Strategic Partnership,Body After 1,This is not an open-ended retainer.,,
Strategic Partnership,Body After 2,It is structured work with a clear goal and timeline.,,
Strategic Partnership,Body After 3,"If you are ready to make a serious move, apply to work together.",,
Strategic Partnership,List 1,Leading the rebrand of a core beauty product that has outgrown its original look and messaging,,
Strategic Partnership,List 2,Project managing a website rebuild so it reflects the business and supports sales,,
Strategic Partnership,List 3,Designing a social media strategy for a small but serious team,,
Strategic Partnership,List 4,"Reviewing a brand's product mix to decide what to cut, keep, and prioritize",,
Strategic Partnership,List 5,Building a go-to-market plan for a service-based founder introducing new offerings,,
Strategic Partnership,CTA 1,Apply to Work Together,/apply-strategic-partnership,primary
Strategic Partnership,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 7.jpg,,Amanda Johnson in a studio portrait with hand at chin.
Case Studies,Eyebrow,Case Studies,,
Case Studies,Title,Real life decisions. Not the highlight reel.,,
Case Studies,Body 1,Every business hits hard moments.,,
Case Studies,Body 2,"In our case studies, we break down:",,
Case Studies,Body After 1,You will not find bragging.,,
Case Studies,Body After 2,You will find honesty.,,
Case Studies,List 1,What the founder was facing,,
Case Studies,List 2,What options were on the table,,
Case Studies,List 3,What they chose,,
Case Studies,List 4,What changed after,,
Case Studies,CTA 1,Explore Case Studies,/stories,primary
Case Studies,Image,assets/images/additional_images/chanel dokun - story individual/Chanel-Dokun.jpeg,,Portrait of a founder in studio light.
Blind Dinners,Eyebrow,Blind Dinners,,
Blind Dinners,Title,Blind Dinners,,
Blind Dinners,Body 1,"Small, invitation-only dinners Amanda hosts and cooks herself.",,
Blind Dinners,Body 2,Guests do not know who else is coming until they arrive.,,
Blind Dinners,Body 3,"The room brings together founders, creatives, executives, and builders from different backgrounds to talk honestly about business, ownership, and navigating rooms that were not built for us.",,
Blind Dinners,List 1,No panels.,,
Blind Dinners,List 2,No name tags.,,
Blind Dinners,List 3,Just real conversation around the table.,,
Blind Dinners,CTA 1,Learn More,/blind-dinners,primary
Blind Dinners,Image,assets/images/additional_images/Blind Dinner 1 photos/444-IMG_5940.JPEG,,Guests gathered around a dinner table.
