section,field,value,link,notes
hero,Note,Thank You,,
hero,Title,You took a real step.,,
hero,Subhead,That matters.,,
hero,Body 1,"If you submitted this application, it means something has been sitting with you: a decision, a tension, a move you know you need to make.",,
hero,Body 2,Good. That is exactly where this work begins.,,
hero,Body 3,"Amanda will personally review your submission. If it is a strong fit, you will receive a payment link, a scheduling link, and a short confirmation note outlining what to prepare.",,
hero,Body 4,You can expect to hear back within 48 hours.,,
hero,Body 5,"In the meantime, take a breath. You do not have to solve this alone.",,
hero,Body 6,"When you meet, the focus will be on the real decision - not the surface noise, not the opinions, the real thing.",,
hero,Body 7,You will leave knowing what to do next.,,
hero,Body 8,Talk soon. - Amanda,,
next,Eyebrow,Continue,,
next,Title,Return when you are ready.,,
next,Body 1,You can head back to Work With Amanda or read more about The Decision Room while you wait.,,
next,CTA 1,Work With Amanda,/work-with-amanda,primary
next,CTA 2,Explore The Decision Room,/membership,ghost
