section,field,value,link,notes
hero,Note,Work With Amanda,,
hero,Title,Strategic Guidance Led by Experience,,
hero,Subhead,Clear thinking, grounded strategy, and forward motion.,,
hero,Body 1,"This is not packaged consulting or generic advice. It is senior-level guidance shaped by years of corporate leadership and deep, hands-on work with Black-owned small businesses.",,
hero,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 8.jpg,,Amanda Johnson smiling in a studio portrait.
who-this-is-for,Eyebrow,Who This Is For,,
who-this-is-for,Title,Guidance For High-Stakes Decisions,,
who-this-is-for,Body 1,This work is for Black founders who are navigating high-impact decisions without a trusted sounding board.,,
who-this-is-for,List 1,Are making high-impact decisions without a trusted sounding board,,
who-this-is-for,List 2,Feel stuck between vision and execution,,
who-this-is-for,List 3,Need clarity, prioritization, and momentum,,
who-this-is-for,List 4,Want direct, honest guidance rooted in real experience,,
who-this-is-for,Body After 1,"If you are looking for motivation or surface-level feedback, this may not be the right fit. If you want thoughtful partnership and direction, you are in the right place.",,
who-this-is-for,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 3.jpg,,Amanda Johnson in a focused studio portrait.
amanda-background,Eyebrow,Amanda’s Background,,
amanda-background,Title,A Dual Perspective,,
amanda-background,Body 1,Amanda Johnson has spent her career inside environments where the stakes are real.,,
amanda-background,Body 2,"She has led strategy and marketing work inside large organizations, partnered with senior executives, and owned initiatives tied directly to revenue, reputation, and growth. She understands how decisions are made, how power operates, and how ideas move from proposal to execution.",,
amanda-background,Body 3,"She has also worked closely with Black-owned small businesses navigating limited access, unclear systems, and uneven support. She understands what it means to build without a safety net.",,
amanda-background,Body 4,That dual perspective shapes every engagement.,,
amanda-background,Inline link,Learn more about Amanda and the origin of Cupcakes + Broccoli,/about,
amanda-background,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 6.jpg,,Amanda Johnson in a close studio portrait.
how-amanda-works,Eyebrow,How Amanda Works,,
how-amanda-works,Title,A Strategic Partner, Not a Task-Taker,,
how-amanda-works,Body 1,Amanda works as a strategic partner, not a task-taker.,,
how-amanda-works,Body 2,"Her approach is collaborative, direct, and grounded in reality. She listens closely, asks the right questions, and helps founders make decisions they can stand behind.",,
how-amanda-works,Body 3,"People who work with Amanda often describe her as clear, detail-oriented, calm under pressure, and deeply invested in seeing work through execution.",,
how-amanda-works,Body 4,She does not disappear after the idea. She stays with the work.,,
how-amanda-works,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 5.jpg,,Amanda Johnson in a studio portrait, looking to the side.
what-working-together,Eyebrow,What Working Together Can Look Like,,
what-working-together,Title,Engagements Are Tailored,,
what-working-together,Body 1,Engagements are intentionally flexible and tailored to each founder’s needs. Work may include:,,
what-working-together,List 1,Clarifying direction and priorities,,
what-working-together,List 2,Pressure-testing ideas and strategies,,
what-working-together,List 3,Translating vision into actionable plans,,
what-working-together,List 4,Navigating moments of transition or uncertainty,,
what-working-together,List 5,Acting as a trusted thought partner during growth or change,,
what-working-together,Body After 1,This is consultative work shaped around context, not templates.,,
what-working-together,Image,assets/images/additional_images/amanda professional photos of her/Amanda_-_5_3500x4184.jpg,,Amanda Johnson smiling in a bright studio portrait.
membership-fit,Eyebrow,Membership and Consulting,,
membership-fit,Title,How This Fits With Membership,,
membership-fit,Body 1,Many founders begin their relationship with Cupcakes + Broccoli through Membership.,,
membership-fit,Body 2,Membership provides access to tools, frameworks, shared learning, and ongoing context. Consulting builds on that foundation for founders who want deeper, more personalized support.,,
membership-fit,Inline link,Explore Membership,/membership,
membership-fit,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 7.jpg,,Amanda Johnson in a studio portrait with hand at chin.
blind-dinners-ecosystem,Eyebrow,Blind Dinners and the Broader Ecosystem,,
blind-dinners-ecosystem,Title,Trust and Shared Perspective,,
blind-dinners-ecosystem,Body 1,Blind Dinners are part of the larger Cupcakes + Broccoli ecosystem.,,
blind-dinners-ecosystem,Body 2,"They are invitation-based gatherings designed to foster trust, conversation, and shared perspective among Black founders. While not a consulting product, they often deepen relationships and reinforce community.",,
blind-dinners-ecosystem,Inline link,Learn about Blind Dinners,/blind-dinners,
blind-dinners-ecosystem,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 11.jpg,,Amanda Johnson in a hooded studio portrait.
getting-started,Eyebrow,Getting Started,,
getting-started,Title,Request to Work With Amanda,,
getting-started,Body 1,Amanda works with a limited number of founders at a time to ensure depth and care.,,
getting-started,Body 2,"If you are interested in working together, the first step is to share where you are and what you are navigating. From there, we can determine whether it is a good fit.",,
getting-started,CTA 1,Request to Work With Amanda,/contact,primary
getting-started,CTA 2,Learn How Cupcakes + Broccoli Works,/about,ghost
