section,field,value,link,notes
hero,Note,Business Counsel,,
hero,Title,Apply,,
hero,Subhead,Business Counsel is for one real decision that needs focused attention.,,
hero,Body 1,Sessions are $350 and last approximately 75 minutes.,,
hero,Body 2,"Before moving forward, please share what decision you are facing right now, and why it matters.",,
questions,Eyebrow,Application,,
questions,Title,Share the decision you are sitting with.,,
questions,Body 1,"If it is a good fit, you will receive a payment link and scheduling link.",,
questions,Form Action,https://formsubmit.co/amanda@cupcakesandbroccoli.com,,
questions,Form Redirect,/thank-you-business-counsel,,
questions,Form Submit Label,Submit Application,,
questions,Form Note,Amanda reviews each application personally.,,
questions,Form Field 1,Full Name | text | required,,full_name
questions,Form Field 2,Email | email | required,,email
questions,Form Field 3,Business Name (optional) | text,,business_name
questions,Form Field 4,"What decision are you facing right now, and why does it matter? | textarea | required",,your_response
closing,Eyebrow,Next,,
closing,Title,What happens after you submit.,,
closing,Body 1,"Applications are reviewed personally. If it is a strong fit, you will receive a payment link and a scheduling link.",,
