section,field,value,link,notes
hero,Note,Learn,,
hero,Title,Practical learning for real decisions.,,
hero,Body 1,"The resources here are built to help founders make decisions, move work forward, and build with more confidence.",,
hero,Body 2,This is practical guidance grounded in real experience.,,
hero,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 8.jpg,,Amanda Johnson in a studio portrait.
what-youll-find,Eyebrow,What You Will Find,,
what-youll-find,Title,"Tools, frameworks, and case studies shaped by real work.",,
what-youll-find,Body 1,The Learn section brings together practical resources drawn from the same questions founders bring into the work.,,
what-youll-find,List 1,Essays that tackle real business tension,,
what-youll-find,List 2,Decision case studies grounded in real founder moments,,
what-youll-find,List 3,Practical worksheets and filters you can use immediately,,
what-youll-find,List 4,Prompt stacks that help you use AI with more judgment,,
what-youll-find,List 5,"Resources that connect to live sessions, consulting, and stories",,
what-youll-find,Image,assets/images/additional_images_3/be rooted 2.webp,,Journals and stationery laid out on a table.
how-to-use,Eyebrow,How To Use It,,
how-to-use,Title,Start with the real question in front of you.,,
how-to-use,Body 1,Some founders arrive with a specific question. Others arrive when something feels stuck.,,
how-to-use,Body 2,"Either way, the goal is not passive consumption. The goal is to help you think more clearly and act with more confidence.",,
how-to-use,Image,assets/images/additional_images/chanel dokun - story individual/maryclairephoto_chanel_3.22-0143.webp,,Founder writing in a notebook during a working session.
access-membership,Eyebrow,Access and Membership,,
access-membership,Title,Public access with deeper support inside The Decision Room.,,
access-membership,Body 1,A portion of the Learn library is available publicly.,,
access-membership,Body 2,"Deeper tools, prompt stacks, and guided resources live inside The Decision Room, where the work can go further with more context and care.",,
access-membership,CTA 1,Explore The Decision Room,/membership,primary
access-membership,Image,assets/images/additional_images_2/Blind Dinner 2/Cupcakes_20&_20Broccoli_20LLC_20033.JPG,,Two people in a focused conversation on a couch.
learning-context,Eyebrow,Context,,
learning-context,Title,The learning does not sit apart from the rest of the work.,,
learning-context,Body 1,"These resources connect to consulting work, member conversations, stories, and Blind Dinners.",,
learning-context,Body 2,The point is not consumption. The point is application.,,
learning-context,CTA 1,Work With Amanda,/work-with-amanda,primary
learning-context,CTA 2,Read the Stories,/stories,ghost
learning-context,Image,assets/images/additional_images_2/CLIENTS/elizabeth abunaw/image.webp,,Founder standing in a produce workspace.
invitation,Eyebrow,Invitation,,
invitation,Title,"If you want more than inspiration, start here.",,
invitation,Body 1,"If you are looking for shortcuts, this may not be the right place.",,
invitation,Body 2,"If you are looking for practical guidance grounded in experience and care, you are welcome here.",,
invitation,CTA 1,Explore The Decision Room,/membership,primary
invitation,CTA 2,Read the Stories,/stories,ghost
