section,field,value,link,notes
hero,Show Section?,Yes,,
hero,Display Order,10,,
hero,Note,The Decision Room,,
hero,Title,A private advisory community for Black women.,,
hero,Subhead,Think of it as your personal board of directors.,,
hero,Body 1,,,
hero,Body 2,,,
hero,Body 3,,,
hero,Body 4,,,
hero,Body 5,,,
hero,CTA 1,,,
hero,CTA 2,,,
hero,Image,assets/images/phase1a/membership-hero-image.avif,,The Decision Room artwork
whats-inside,Show Section?,Yes,,
whats-inside,Display Order,20,,
whats-inside,Eyebrow,,,
whats-inside,Title,The Decision Room,,
whats-inside,Body 1,,,
whats-inside,List 1,Monthly advisory boards.,,
whats-inside,List 2,Private community.,,
whats-inside,List 3,Confidential discussions.,,
whats-inside,List 4,Curated introductions.,,
whats-inside,List 5,The Library.,,
whats-inside,Image,,,
essays,Show Section?,No,,
essays,Display Order,30,,Lower numbers appear first.
essays,Eyebrow,Inside The Decision Room,,
essays,Title,Live Working Sessions,,
essays,Body 1,Members-only sessions where real business decisions get worked through in real time.,,
essays,Body 2,Not panels. Not lectures.,,
essays,List 1,Founders bring real questions.,,
essays,List 2,We walk through the tradeoffs.,,
essays,List 3,We pressure-test the options.,,
essays,List 4,You see how serious decisions are framed and made.,,
essays,Body After 1,"If you ever want that level of focus on your situation alone, that's what Business Counsel is for.",,
essays,Image,assets/images/Giana-De-Dier_Particularidades-de-una-tierra-prometida5-scaled.jpg,,Portrait framed by soft light and layered textiles.
decision-case-studies,Show Section?,No,,
decision-case-studies,Display Order,40,,Lower numbers appear first.
decision-case-studies,Eyebrow,Inside The Decision Room,,
decision-case-studies,Title,Private Founder Channel,,
decision-case-studies,Body 1,A private space for Black founders inside the room.,,
decision-case-studies,Body 2,Small. Intentional. Serious.,,
decision-case-studies,List 1,Quick questions,,
decision-case-studies,List 2,Sanity checks,,
decision-case-studies,List 3,Honest conversations,,
decision-case-studies,Body After 1,This is your bench when you don't have one.,,
decision-case-studies,Image,assets/images/additional_images/chanel dokun - story individual/chanel dokun.jpg,,Portrait of a founder in conversation.
practical-tools,Show Section?,No,,
practical-tools,Display Order,50,,Lower numbers appear first.
practical-tools,Eyebrow,Inside The Decision Room,,
practical-tools,Title,Priority Access to Blind Dinners,,
practical-tools,Body 1,Members receive priority consideration for future Blind Dinners.,,
practical-tools,Body 2,The room doesn't only live online.,,
practical-tools,Image,assets/images/additional_images/Blind Dinner 1 photos/444-IMG_5940.JPEG,,Guests gathered around a dinner table.
ai-done-properly,Show Section?,No,,
ai-done-properly,Display Order,60,,Lower numbers appear first.
ai-done-properly,Eyebrow,Decision Tool Library,,
ai-done-properly,Title,This is where structure lives.,,
ai-done-properly,Body 1,"These tools are built to help you work through your own numbers, your own offers, and your own decisions.",,
