section,field,value,link,notes
hero,Note,Membership,,
hero,Title,The Decision Room,,
hero,Subhead,$39 per month or $390 per year (2 months free),,
hero,Body 1,A private room for Black founders building at every level.,,
hero,Body 2,"If you are an established CEO who wants sharper insight and serious Black operators around you, this is for you.",,
hero,Body 3,"If you run a growing business and want better tools and better judgment around your next move, this is for you.",,
hero,Body 4,"If you're early and shaping your idea, this is for you.",,
hero,Body 5,This is where Black ownership gets sharper.,,
hero,CTA 1,Join The Decision Room,https://www.cupcakesandbroccoli.com/join?autojoin=1#the-decision-room-link,primary
hero,CTA 2,Member Login,/login,ghost
hero,Image,assets/images/additional_images/amanda professional photos of her/Amanda - 4.jpg,,Amanda Johnson in a white studio portrait.
whats-inside,Eyebrow,What Membership Includes,,
whats-inside,Title,Inside The Decision Room you get:,,
whats-inside,Body 1,Community. Structure. Access.,,
whats-inside,List 1,Live Working Sessions,,
whats-inside,List 2,A Private Founder Channel,,
whats-inside,List 3,Priority Access to Blind Dinners,,
whats-inside,List 4,A growing Decision Tool Library,,
whats-inside,List 5,A clear pathway to one-on-one Business Counsel,,
whats-inside,Image,assets/images/murius-7-scaled.jpg,,Portrait layered over a geometric backdrop.
essays,Eyebrow,Inside The Decision Room,,
essays,Title,Live Working Sessions,,
essays,Body 1,Members-only sessions where real business decisions get worked through in real time.,,
essays,Body 2,Not panels. Not lectures.,,
essays,List 1,Founders bring real questions.,,
essays,List 2,We walk through the tradeoffs.,,
essays,List 3,We pressure-test the options.,,
essays,List 4,You see how serious decisions are framed and made.,,
essays,Body After 1,"If you ever want that level of focus on your situation alone, that's what Business Counsel is for.",,
essays,Image,assets/images/Giana-De-Dier_Particularidades-de-una-tierra-prometida5-scaled.jpg,,Portrait framed by soft light and layered textiles.
decision-case-studies,Eyebrow,Inside The Decision Room,,
decision-case-studies,Title,Private Founder Channel,,
decision-case-studies,Body 1,A private space for Black founders inside the room.,,
decision-case-studies,Body 2,Small. Intentional. Serious.,,
decision-case-studies,List 1,Quick questions,,
decision-case-studies,List 2,Sanity checks,,
decision-case-studies,List 3,Honest conversations,,
decision-case-studies,Body After 1,"This is your bench when you don't have one.",,
