section,field,value,link,notes
hero,Note,Stories,,
hero,Title,Real decisions. Real tension.,,
hero,Subhead,We document the moments that change businesses.,,
hero,Body 1,"Each case study walks through the situation, the pressure, the options, the decision, and what happened next.",,
hero,Body 2,These are not highlight reels. They are honest breakdowns of how founders move forward.,,
hero,Image,assets/images/additional_images/chanel dokun - story individual/maryclairephoto_chanel_3.22-0143.webp,,Portrait of a founder in studio light.
case-study-format,Eyebrow,Case Studies,,
case-study-format,Title,What each case study shows.,,
case-study-format,Body 1,These are the five moves every case study is built around:,,
case-study-format,List 1,The situation,,
case-study-format,List 2,The pressure,,
case-study-format,List 3,The options,,
case-study-format,List 4,The decision,,
case-study-format,List 5,What happened next,,
case-study-format,Image,assets/images/additional_images/chanel dokun - story individual/289009491_567841984715267_3365790725858420719_n.jpg,,Close portrait of a founder.
honest-breakdowns,Eyebrow,What This Is,,
honest-breakdowns,Title,Not the highlight reel.,,
honest-breakdowns,Body 1,The point is not to package success neatly. The point is to show what business actually feels like when the decision is real and the outcome matters.,,
honest-breakdowns,Body 2,That honesty is what makes the stories useful.,,
honest-breakdowns,Image,assets/images/additional_images/chanel dokun - story individual/chanel dokun life coach.jpeg,,Founder working at a table with a laptop.
membership-access,Eyebrow,The Decision Room,,
membership-access,Title,Some stories are public. Some go deeper inside membership.,,
membership-access,Body 1,Public stories give you a way into the thinking.,,
membership-access,Body 2,"Inside The Decision Room, there is more room for reflection, supporting tools, and the kind of context that helps the lesson travel into your own work.",,
membership-access,CTA 1,Explore The Decision Room,/membership,primary
membership-access,CTA 2,Work With Amanda,/work-with-amanda,ghost
membership-access,Image,assets/images/additional_images/chanel dokun - story individual/maryclairephoto_chanel_3.22-0224.webp,,Founder portrait in studio lighting.
invitation,Eyebrow,What To Do With The Story,,
invitation,Title,"Read for the decision, not the performance.",,
invitation,Body 1,"If you are looking for polished success theater, this is not that.",,
invitation,Body 2,"If you are looking for honest decision-making you can learn from, you are in the right place.",,
invitation,CTA 1,Work With Amanda,/work-with-amanda,primary
invitation,CTA 2,Explore The Decision Room,/membership,ghost
