section,field,value,link,notes
hero,Note,Strategic Partnership,,
hero,Title,Apply,,
hero,Subhead,Strategic Partnership is for founders making big moves.,,
hero,Body 1,"Before moving forward, please share what you are building and what shift or result you are looking to achieve through this work.",,
questions,Eyebrow,Application,,
questions,Title,Share the shift you are trying to make.,,
questions,Body 1,"Applications are reviewed personally. If there is alignment, you will receive next steps.",,
questions,Form Action,https://formsubmit.co/amanda@cupcakesandbroccoli.com,,
questions,Form Redirect,/thank-you-strategic-partnership,,
questions,Form Submit Label,Submit Application,,
questions,Form Note,Amanda reviews each application personally.,,
questions,Form Field 1,Full Name | text | required,,full_name
questions,Form Field 2,Email | email | required,,email
questions,Form Field 3,Company Name (optional) | text,,company_name
questions,Form Field 4,Website (optional) | url,,website
questions,Form Field 5,"What are you building, and what shift or result are you looking to achieve through this work? | textarea | required",,your_response
closing,Eyebrow,Next,,
closing,Title,What happens after you apply.,,
closing,Body 1,"If there is alignment, Amanda will reach out with next steps for a short conversation about fit, scope, and timing.",,
