section,field,value,link,notes
hero,Note,Learn,,
hero,Title,Practical learning for real decisions.,,
hero,Body 1,"The resources here are built to help founders make decisions, move work forward, and build with more confidence.",,
hero,Body 2,This is practical guidance grounded in real experience.,,
hero,Image,assets/images/muriu-6-scaled.jpg,,Portrait framed by soft light.
what-youll-find,Eyebrow,What You Will Find,,
what-youll-find,Title,"Tools, frameworks, and case studies shaped by real work.",,
what-youll-find,Body 1,The Learn section brings together practical resources drawn from the same questions founders bring into the work.,,
what-youll-find,List 1,Essays that tackle real business tension,,
what-youll-find,List 2,Decision case studies grounded in real founder moments,,
what-youll-find,List 3,Practical worksheets and filters you can use immediately,,
what-youll-find,List 4,Prompt stacks that help you use AI with more judgment,,
what-youll-find,List 5,"Resources that connect to live sessions, consulting, and stories",,
what-youll-find,Image,assets/images/Giana-De-Dier_Particularidades-de-una-tierra-prometida5-scaled.jpg,,Portrait framed by soft light and layered textiles.
how-to-use,Eyebrow,How To Use It,,
how-to-use,Title,Start with the real question in front of you.,,
how-to-use,Body 1,Some founders arrive with a specific question. Others arrive when something feels stuck.,,
how-to-use,Body 2,"Either way, the goal is not passive consumption. The goal is to help you think more clearly and act with more confidence.",,
how-to-use,Image,assets/images/image-5.jpg,,Patterned portrait detail.
access-membership,Eyebrow,Access and Membership,,
access-membership,Title,Public access with deeper support inside The Decision Room.,,
access-membership,Body 1,A portion of the Learn library is available publicly.,,
access-membership,Body 2,"Deeper tools, prompt stacks, and guided resources live inside The Decision Room, where the work can go further with more context and care.",,
access-membership,CTA 1,Explore The Decision Room,/membership,primary
access-membership,Image,assets/images/murius-7-scaled.jpg,,Portrait layered over a geometric backdrop.
learning-context,Eyebrow,Context,,
learning-context,Title,The learning does not sit apart from the rest of the work.,,
learning-context,Body 1,"These resources connect to consulting work, member conversations, stories, and Blind Dinners.",,
learning-context,Body 2,The point is not consumption. The point is application.,,
learning-context,CTA 1,Work With Amanda,/work-with-amanda,primary
learning-context,CTA 2,Read the Stories,/stories,ghost
learning-context,Image,assets/images/additional_images/chanel dokun - story individual/chanel dokun life coach.jpeg,,Founder working at a table with a laptop.
invitation,Eyebrow,Invitation,,
invitation,Title,"If you want more than inspiration, start here.",,
invitation,Body 1,"If you are looking for shortcuts, this may not be the right place.",,
invitation,Body 2,"If you are looking for practical guidance grounded in experience and care, you are welcome here.",,
invitation,CTA 1,Explore The Decision Room,/membership,primary
invitation,CTA 2,Read the Stories,/stories,ghost
