section,field,value,link,notes
hero,Display Order,10,,
hero,Show Section?,Yes,,
hero,Content Mode,Flexible,,
hero,Title,Welcome back.,,
hero,Note,The Decision Room - Member Area Preview,,
hero,Subhead,What decision are you thinking through today?,,
hero,Body 1,"The member area is being prepared. This is a public preview, not an active sign-in or a private member space.",,
hero,CTA 1,Explore Membership with Amanda,mailto:amanda@cupcakesandbroccoli.com?subject=The%20Decision%20Room,primary
hero,Image,assets/images/phase1a/member-home-hero-image.webp,,The Decision Room member area artwork
the-library,Display Order,20,,
the-library,Show Section?,Yes,,
the-library,Content Mode,Flexible,,
the-library,Section Layout,Text Only,,
the-library,Section Theme,paper,,
the-library,List Style,Card Stack,,
the-library,Title,The Library,,
the-library,Paragraph 1,"Explore essays, decision briefs, AI prompts and member resources.",,
the-library,Button 1,Open Library,/learn,primary
in-the-room,Display Order,30,,
in-the-room,Show Section?,Yes,,
in-the-room,Content Mode,Flexible,,
in-the-room,Section Layout,Text Only,,
in-the-room,Section Theme,paper,,
in-the-room,List Style,Card Stack,,
in-the-room,Title,In the Room,,
in-the-room,Paragraph 1,One of the greatest strengths of The Decision Room is the women inside it.,,
in-the-room,Paragraph 2,"Search by profession, education, location or sorority to discover members you may want to meet, learn from or simply get to know.",,
in-the-room,Paragraph 3,"Coming next: member search, profiles and saved resources. No member information is displayed or collected in this preview.",,
