section,field,value,link,notes
hero,Display Order,10,,
hero,Show Section?,Yes,,
hero,Content Mode,Flexible,,
hero,Title,Preparing people for the decisions that matter.,,
hero,Note,Speaking & Education,,
hero,Body 1,"Business is more than a career. It's a framework for solving problems, recognizing opportunities and building a life with intention.",,
hero,CTA 1,Download CV,https://cdn.jsdelivr.net/gh/scampbe3/CNB@main/assets/docs/phase1a/amanda-johnson-education-cv.pdf,primary
hero,CTA 2,Download Teaching Philosophy,https://cdn.jsdelivr.net/gh/scampbe3/CNB@main/assets/docs/phase1a/amanda-johnson-teaching-philosophy.pdf,ghost
teaching-philosophy,Display Order,20,,
teaching-philosophy,Show Section?,Yes,,
teaching-philosophy,Content Mode,Flexible,,
teaching-philosophy,Section Layout,Image Right,,
teaching-philosophy,Section Theme,paper,,
teaching-philosophy,List Style,Card Stack,,
teaching-philosophy,Title,Teaching Philosophy,,
teaching-philosophy,Paragraph 1,"In an age where information is abundant and AI can generate answers in seconds, I believe the greatest competitive advantage isn't knowing more. It's developing the judgment to ask better questions, recognize opportunities and make thoughtful decisions.",,
teaching-philosophy,Paragraph 2,"Whether I'm teaching university students, facilitating executive workshops or speaking at conferences, my goal is to connect theory with practice through discussion, current events and real-world business cases.",,
teaching-philosophy,Image,assets/images/phase1a/speaking-education-teaching-philosophy-image.webp,,Amanda speaking on stage
speaking-topics,Display Order,30,,
speaking-topics,Show Section?,Yes,,
speaking-topics,Content Mode,Flexible,,
speaking-topics,Section Layout,Text Only,,
speaking-topics,Section Theme,paper,,
speaking-topics,List Style,Card Stack,,
speaking-topics,Title,Speaking Topics,,
speaking-topics,List Item 1,Artificial Intelligence,,
speaking-topics,List Item 2,Marketing Strategy,,
speaking-topics,List Item 3,Brand Strategy,,
speaking-topics,List Item 4,Strategic Decision-Making,,
speaking-topics,List Item 5,Entrepreneurship,,
speaking-topics,List Item 6,Executive Leadership,,
speaking-topics,List Item 7,Journalism & Media,,
speaking-topics,List Item 8,Storytelling & Communications,,
what-people-say,Display Order,40,,
what-people-say,Show Section?,Yes,,
what-people-say,Content Mode,Flexible,,
what-people-say,Section Layout,Text Only,,
what-people-say,Section Theme,paper,,
what-people-say,List Style,Card Stack,,
what-people-say,Title,What People Say,,
testimonial-john,Display Order,41,,
testimonial-john,Show Section?,Yes,,
testimonial-john,Content Mode,Flexible,,
testimonial-john,Section Layout,Image Left,,
testimonial-john,Section Theme,paper,,
testimonial-john,List Style,Card Stack,,
testimonial-john,Title,John McCourt,,
testimonial-john,Quote 1,I am the executive I am today because she taught me how to think.,,"John McCourt, Senior Vice President, Social Impact, Weber Shandwick"
testimonial-john,Image,assets/images/phase1a/speaking-education-testimonial-john-image.webp,,John McCourt
testimonial-leon,Display Order,42,,
testimonial-leon,Show Section?,Yes,,
testimonial-leon,Content Mode,Flexible,,
testimonial-leon,Section Layout,Image Right,,
testimonial-leon,Section Theme,paper,,
testimonial-leon,List Style,Card Stack,,
testimonial-leon,Title,Leon Wiles,,
testimonial-leon,Quote 1,"Amanda has the unique ability to connect academic concepts with real-world business experience, helping students understand not just what works, but why it works.",,"Leon Wiles, Educational Consultant; Former Chief Diversity Officer, Clemson University; Former Vice Chancellor for Student & Diversity Affairs, University of South Carolina Upstate"
testimonial-leon,Image,assets/images/phase1a/speaking-education-testimonial-leon-image.webp,,Leon Wiles
testimonial-joe,Display Order,43,,
testimonial-joe,Show Section?,Yes,,
testimonial-joe,Content Mode,Flexible,,
testimonial-joe,Section Layout,Image Left,,
testimonial-joe,Section Theme,paper,,
testimonial-joe,List Style,Card Stack,,
testimonial-joe,Title,Joe Valentino,,
testimonial-joe,Quote 1,Amanda is a natural communicator who understands how to connect authentically with people.,,"Joe Valentino, Executive Vice President, Commercial Growth, Strategic Partnerships, Board Director & Strategic Advisor, equalpride"
testimonial-joe,Image,assets/images/phase1a/speaking-education-testimonial-joe-image.webp,,Joe Valentino
